name,authors,description
"Moleskine Classic Notebook, Large, Squared, Black, Hard Cover (5 x 8.25) (Classic Notebooks)",{Moleskine},"This basic, yet classic Large Squared notebook is one of the best-selling Moleskine notebooks. This reliable travel companion, perfect for calculations, thoughts and passing notes, has a cardboard bound cover with rounded corners, acid free paper, a bookmark, an elastic closure and an expandable inner pocket that contains the Moleskine history.  <br><br>Specifications: <br>- Layout: Squared Paper<br>- Dimensions: 5"" x 8-1/4""<br>- Hard Cover with elastic closure and bookmark ribbon.<br>- Color: Black<br>- Pages: 192<br>- Paper Weight: 70 gsm/47 lb.; FSC Certified Paper; Acid-Free (pH Neutral)<br>- Internal Accordion Pocket<br><br/>California residents: Click here for Proposition 65 warning.<br /><br /> <hr class=""bucketDivider"" size=""1"" /><div class=""aplus""><br /> <br /> <div class=""aplus""> <br /> <!-- Begin Moleskine Notebook & Journals Comparison Table --> <div align=""center""> <h2><a name=""Comparison_Chart""><strong>Moleskine Notebook & Journals Comparison</strong></h2> <table align=""center"" border=""0"" class=""data"" width=""100%""> <tbody> <tr> <th style=""text-align: left;"">Series</th> <th style=""text-align: center;width: 300px;"">Classic Notebooks</th> <th style=""text-align: center;width: 300px;"">Evernote Smart Notebooks</th> <th style=""text-align: center;width: 300px;"">Classic Notebooks - Reporter</th> <th style=""text-align: center;width: 300px;"">Volant Notebooks</th> <th style=""text-align: center;width: 300px;"">Cahier Notebooks</th> </tr> <tr> <td style=""text-align: left;width: 110px "">Brief Description</td> <td style=""text-align: top;"">The Moleskine icon. Always at the ready, these thread-bound classic notebooks capture your thoughts, drafts, sketches, notes, appointments, contacts, or anything else you choose.</td> <td style=""text-align: top;"">Write, sketch, or draw in the specially designed Evernote Notebooks by Moleskine. Take a photo of any page in this Moleskine notebook with the Evernote Page Camera and it instantly becomes digital so that you can save it, search it and share it with the world.</td> <td style=""text-align: top;"">The Moleskine Pocket Ruled Reporter notebook has a cover that flip opens at the top, detachable pages at the back for quick notes on the spot and can be used both horizontally and vertically.</td> <td style=""text-align: top;"">A colored collection of soft cover notebooks and journals ideal for everyday use. Volant notebooks come packed in sets of two, consisting of two different shades of the same colour. It's a notebook so lightweight you'll forget about it - until you need it.</td> <td style=""text-align: top;"">The journals for day-to-day use, Cahier notebooks each have a heavy duty cardboard cover with visible stitching on the spine that matches the cover color. Slim, soft and light - Cahier journals suit any occasion, and come packaged in sets of three.</td> </tr> <tr bgcolor=""#eeeeee""> <td style=""text-align:left;width: 110px "">Size</td> <td style=""text-align: top;"">X-Small, Pocket, Large, X-Large</td> <td style=""text-align: top;"">Pocket, Large</td> <td style=""text-align: top;"">Pocket, Large</td> <td style=""text-align: top;"">Pocket, Large</td> <td style=""text-align: top;"">Pocket, Large, X-Large</td> </tr> <tr> <td style=""text-align: left;"">Format</td> <td style=""text-align: top;"">Hard cover, Soft cover</td> <td style=""text-align: top;"">Hard cover</td> <td style=""text-align: top;"">Hard cover, Soft cover</td> <td style=""text-align: top;"">Soft cover (Sets of 2)</td> <td style=""text-align: top;"">Soft cover (Sets of 3)</td> </tr> <tr bgcolor=""#eeeeee""> <td style=""text-align: left; width: 100px;"">Black</td> <td style=""text-align: top; width: 350px;"">XS Plain Hard cover, XS Ruled Hard cover, Pkt Plain Hard cover, Pkt Plain Soft cover, Pkt Ruled Hard cover, Pkt Ruled Soft cover, Pkt Squared Hard cover, Pkt Squared Soft cover, LG Plain Hard cover, LG Plain Soft cover, LG Ruled Hard cover, LG Ruled Soft cover, LG Squared Hard cover, LG Squared Soft cover, XL Plain Soft cover, XL Ruled Soft cover, XL Squared Soft cover</td> <td style=""text-align: top;"">Pkt Ruled Hard cover, Pkt Squared Hard cover, LG Ruled Hard cover, LG Squared Hard cover</td> <td style=""text-align: top;"">Pkt Plain Hard cover, Pkt Plain Soft cover, Pkt Ruled Hard cover, Pkt Ruled Soft cover, Pkt Squared Hard cover, Pkt Squared Soft cover, LG Plain Hard cover, LG Plain Soft cover, LG Ruled Hard cover, LG Ruled Soft cover, LG Squared Hard cover, LG Squared Soft cover</td> <td style=""text-align: top;"">XS Plain Soft Cover, XS Ruled Soft cover, Pkt Plain Soft cover, Pkt Ruled Soft cover, LG Plain Soft cover, LG Ruled Soft cover</td> <td style=""text-align: top;"">Pkt Ruled Soft cover, Pkt Squared Soft cover, LG Squared Soft cover, XL Plain Soft cover, XL Ruled Soft cover, XL Squared Soft cover</td> </tr> <tr> <td style=""text-align: left;"">Blue</td> <td style=""text-align: top;""></td> <td style=""text-align: top;""></td> <td style=""text-align: top;""></td> <td style=""text-align: top;"">XS Plain Antwerp Blue, XS Plain Blue, XS Ruled Antwerp Blue, XS Ruled Blue, Pkt Plain Antwerp Blue, Pkt Plain Blue, Pkt Ruled Antwerp Blue, Pkt Ruled Blue, LG Plain Antwerp Blue, LG Plain Blue, LG Ruled Antwerp Blue, LG Ruled Sky Blue, XL Plain Antwerp Blue, XL Plain Sky Blue,  XL Ruled Antwerp Blue,  XL Ruled Sky Blue</td> <td style=""text-align: top;"">Pkt Plain Indigo Blue, Pkt Ruled Indigo Blue, Pkt Squared Indigo Blue, LG Plain Indigo Blue, LG Ruled Indigo Blue, XL Plain Indigo Blue, XL Ruled Indigo Blue, XL Squared Indigo Blue</td> </tr> <tr bgcolor=""#eeeeee""> <td style=""text-align: left;"">Kraft Brown</td> <td style=""text-align: top;""></td> <td style=""text-align: top;""></td> <td style=""text-align: top;""></td> <td style=""text-align: top;""></td> <td style=""text-align: top;""> Pkt Plain, Pkt Ruled, Pkt Squared, LG Plain, LG Ruled, LG Squared, XL Ruled, XL Squared</td> </tr> <tr> <td style=""text-align: left;"">Green</td> <td style=""text-align: top;"">XS Plain Oxide Green Hard cover, XS Ruled Oxide Green Hard cover, Pkt Plain Oxide Green Hard cover, Pkt Ruled Oxide Green Hard cover, Pkt Squared Oxide Green Hard cover, LG Plain Oxide Green Hard cover, LG Ruled Oxide Green Hard cover, LG Squared Oxide Green Hard cover</td> <td style=""text-align: top;""></td> <td style=""text-align: top;""></td> <td style=""text-align: top;"">XS Plain Emerald & Oxide Green, XS Ruled Emerald & Oxide Green, XS Ruled Green, Pkt Plain Emerald & Oxide Green, Pkt Ruled Emerald & Oxide Green, Pkt Ruled Green, LG Plain Emerald & Oxide Green, LG Ruled Emerald & Oxide Green, LG Ruled Green, XL Plain Emerald & Oxide Green, XL Ruled Emerald & Oxide Green</td> <td style=""text-align: top;""></td> </tr> <tr bgcolor=""#eeeeee""> <td style=""text-align: left;"">Grey</td> <td style=""text-align: top;""></td> <td style=""text-align: top;""></td> <td style=""text-align: top;""></td> <td style=""text-align: top;"">XS Plain Slate & Payne's Grey, XS Ruled Slate & Payne's Grey, Pkt Plain Slate & Payne's Grey, Pkt Ruled Slate & Payne's Grey, LG Plain Slate & Payne's Grey, LG Ruled Slate & Payne's Grey</td> <td style=""text-align: top;""></td> </tr> <tr> <td style=""text-align: left;"">Orange/Yellow</td> <td style=""text-align: top;"">XS Plain Hard cover, XS Ruled Hard cover, Pkt Plain Hard cover, Pkt Ruled Hard cover, Pkt Squared Hard cover, LG Plain Hard cover, LG Ruled Hard cover, LG Squared Hard cover</td> <td style=""text-align: top;""></td> <td style=""text-align: top;""></td> <td style=""text-align: top;"">XS Plain Orange/Yellow & Cadmium Orange, XS Ruled Orange/Yellow & Cadmium Orange, Pkt Plain Orange/Yellow & Cadmium Orange, Pkt Ruled Orange/Yellow & Cadmium Orange, LG Plain Orange/Yellow & Cadmium Orange, LG Ruled Orange/Yellow & Cadmium Orange, XL Plain Orange/Yellow & Cadmium Orange, XL Ruled Orange/Yellow & Cadmium Orange</td> <td style=""text-align: top;""></td> </tr> <tr bgcolor=""#eeeeee""> <td style=""text-align: left;"">Pink/Purple</td> <td style=""text-align: top;"">XS Plain Brilliant Violet Hard cover, XS Ruled Brilliant Violet Hard cover, Pkt Plain Brilliant Violet Hard cover, Pkt Ruled Brilliant Violet Hard cover, Pkt Squared Brilliant Violet Hard cover, LG Plain Brilliant Violet Hard cover, LG Ruled Brilliant Violet Hard cover, LG Squared Brilliant Violet Hard cover, XS Plain Magenta Hard cover, XS Ruled Magenta Hard cover, Pkt Plain Magenta Hard cover, Pkt Ruled Magenta Hard cover,  Pkt Squared Magenta Hard cover, LG Plain Magenta Hard cover, LG Ruled Magenta Hard cover, LG Squared Magenta Hard cover</td> <td style=""text-align: top;""></td> <td style=""text-align: top;""></td> <td style=""text-align: top;"">XS Plain Brilliant & Light Violet, XS Plain Pink Magenta & Magenta, XS Ruled Brilliant & Light Violet, XS Ruled Pink Magenta & Magenta, Pkt Plain Brilliant & Light Violet, Pkt Plain Pink Magenta & Magenta, Pkt Ruled Brilliant & Light Violet, Pkt Ruled Pink Magenta & Magenta, LG Plain Brilliant & Light Violet, LG Plain Pink Magenta & Magenta, LG Ruled Brilliant & Light Violet, LG Ruled Pink Magenta & Magenta, XL Ruled Pink Magenta & Magenta, XL Ruled Pink Magenta & Magenta</td> <td style=""text-align: top;"">Pkt Plain Lilac/Yellow/Peach, Pkt Ruled Lilac/Yellow/Peach, Pkt Squared Lilac/Yellow/Peach, LG Plain Lilac/Yellow/Peach, LG Ruled Lilac/Yellow/Peach, LG Squared Lilac/Yellow/Peach, XL Plain Lilac/Yellow/Peach, XL Ruled Lilac/Yellow/Peach, XL Squared Lilac/Yellow/Peach</td> </tr> <tr> <td style=""text-align: left;"">Red</td> <td style=""text-align: top;"">XS Plain Hard cover, XS Ruled Hard cover, Pkt Ruled Hard cover, Pkt Squared Hard cover, LG Plain Hard cover, LG Ruled Hard cover, LG Squared Hard cover</td> <td style=""text-align: top;""></td> <td style=""text-align: top;""></td> <td style=""text-align: top;"">XS Plain, XS Ruled, Pkt Plain, Pkt Ruled, LG Plain, LG Ruled, XL Plain, XL Ruled</td> <td style=""text-align: top;"">Pkt Plain Cranberry Red, Pkt Ruled Cranberry Red, LG Plain Cranberry Red, LG Squared Cranberry Red, XL Plain Cranberry Red, XL Ruled Cranberry Red, XL Squared Cranberry Red</td> </tr> <tr bgcolor=""#eeeeee""> <td style=""text-align: left;"">White</td> <td style=""text-align: top;""></td> <td style=""text-align: top;""></td> <td style=""text-align: top;""></td> <td style=""text-align: top;"">XS Plain, XS Ruled, Pkt Plain, Pkt Ruled, LG Plain, LG Ruled</td> <td style=""text-align: top;""></td> </tr> </tbody> </table> <div><br /></div> <br /></div> </div> <!-- End Moleskine Notebook & Comparison Table --></div>"
Longman Dictionary of Contemporary English (Paper and Online Access) (6th Edition),"{""Pearson Education""}","The sixth edition of this best-selling dictionary ensures students produce more accurate English both in writing and speaking with 230,000 words, phrases and meanings. Now with expanded Grammar information, students get extra help with grammar patterns and using the correct tenses. The integrated Collocations Dictionary shows learners which words to use together, while the integrated Thesaurus helps them to expand their vocabulary. Register Notes focus on the differences between spoken and written English. The brand new online resources offer the entire content of the dictionary plus additional innovative functionality to facilitate customisable teaching and learning, and a wealth of practice so that users focus on the words that they want to learn."
Rich Dad Poor Dad: What The Rich Teach Their Kids About Money That the Poor and Middle Class Do Not!,"{""Robert T. Kiyosaki""}","<div><BR>Rich Dad Poor Dad, the #1 Personal Finance book of all time, tells the story of Robert Kiyosaki and his two dads—his real father and the father of his best friend, his rich dad—and the ways in which both men shaped his thoughts about money and investing. The book explodes the myth that you need to earn a high income to be rich and explains the difference between working for money and having your money work for you.</div>"
Man's Search for Meaning,"{""Viktor E. Frankl""}","Psychiatrist Viktor Frankl's memoir has riveted generations of readers with its descriptions of life in Nazi death camps and its lessons for spiritual survival. Between 1942 and 1945 Frankl labored in four different camps, including Auschwitz, while his parents, brother, and pregnant wife perished. Based on his own experience and the experiences of others he treated later in his practice, Frankl argues that we cannot avoid suffering but we can choose how to cope with it, find meaning in it, and move forward with renewed purpose. Frankl's theory-known as logotherapy, from the Greek word logos (""meaning"")-holds that our primary drive in life is not pleasure, as Freud maintained, but the discovery and pursuit of what we personally find meaningful.<br><br>At the time of Frankl's death in 1997, <i>Man's Search for Meaning</i> had sold more than 10 million copies in twenty-four languages. A 1991 reader survey for the Library of Congress that asked readers to name a ""book that made a difference in your life"" found <i>Man's Search for Meaning</i> among the ten most influential books in America."
"Surely You're Joking, Mr. Feynman! (Adventures of a Curious Character)","{""Richard P. Feynman"",""Ralph Leighton""}","<p><strong>A <em>New York Times</em> bestseller―the outrageous exploits of one of this century's greatest scientific minds and a legendary American original.</strong></p><p>Richard Feynman, winner of the Nobel Prize in physics, thrived on outrageous adventures. Here he recounts in his inimitable voice his experience trading ideas on atomic physics with Einstein and Bohr and ideas on gambling with Nick the Greek; cracking the uncrackable safes guarding the most deeply held nuclear secrets; accompanying a ballet on his bongo drums; painting a naked female toreador. In short, here is Feynman's life in all its eccentric―a combustible mixture of high intelligence, unlimited curiosity, and raging chutzpah.</p> Black-and-white photographs throughoutA series of anecdotes shouldn't by rights add up to an  autobiography, but that's just one of the many pieces of received  wisdom that Nobel Prize-winning physicist Richard Feynman (1918-88)  cheerfully ignores in his engagingly eccentric book, a bestseller  ever since its initial publication in 1985. Fiercely independent (read  the chapter entitled ""Judging Books by Their Covers""), intolerant of  stupidity even when it comes packaged as high intellectualism (check  out ""Is Electricity Fire?""), unafraid to offend (see ""You Just  <I>Ask</I> Them?""), Feynman informs by entertaining. It's possible to  enjoy <i>Surely You're Joking, Mr. Feynman</i> simply as a bunch of  hilarious yarns with the smart-alecky author as know-it-all hero. At  some point, however, attentive readers realize that underneath all the  merriment simmers a running commentary on what constitutes authentic  knowledge: learning by understanding, not by rote; refusal to give up  on seemingly insoluble problems; and total disrespect for fancy ideas  that have no grounding in the real world. Feynman himself had all  these qualities in spades, and they come through with vigor and verve  in his no-bull prose. No wonder his students--and readers around the  world--adored him. <I>--Wendy Smith</I>"
Rework,"{""Jason Fried"",""David Heinemeier Hansson""}","Most business books give you the same old advice: Write a business plan, study the competition, seek investors, yadda yadda. If you're looking for a book like that, put this one back on the shelf.<br><br><i>Rework </i>shows you a better, faster, easier way to succeed in business. Read it and you'll know why plans are actually harmful, why you don't need outside investors, and why you're better off ignoring the competition. The truth is, you need less than you think. You don't need to be a workaholic. You don't need to staff up. You don't need to waste time on paperwork or meetings. You don't even need an office. Those are all just excuses. <br><br> What you really need to do is stop talking and start working. This book shows you the way. You'll learn how to be more productive, how to get exposure without breaking the bank, and tons more counterintuitive ideas that will inspire and provoke you.<br><br>With its straightforward language and easy-is-better approach, <i>Rework </i>is the perfect playbook for anyone who’s ever dreamed of doing it on their own. Hardcore entrepreneurs, small-business owners, people stuck in day jobs they hate, victims of ""downsizing,"" and artists who don’t want to starve anymore will all find valuable guidance in these pages.<span class=""h1""><strong>Amazon Exclusive: Seth Godin Reviews <i>Rework</i></strong></span> <br/> <br/> <b>Seth Godin is the author of <i>Linchpin</i>, <i>Tribes</i>, <i>The Dip</i>, <i>Purple Cow</i>, <i>All Marketers Are Liars</i>, and <i>Permission Marketing</i>, as well as other international bestsellers. He is consistently one of the 25 most widely read bloggers in the English language. Read his exclusive Amazon guest review of <i>Rework</i>:</b>  <br/> <p>   <img align=""right"" border=""0"" src=""https://images-na.ssl-images-amazon.com/images/G/01/randoEMS/SethGodin_sm.jpg""/>        <p>This book will make you uncomfortable.</p>  <p>Depending on what you do all day, it might make you extremely uncomfortable.</p>  <p>That's a very good thing, because you deserve it. We all do.</p>  <p>Jason and David have broken all the rules and won. Again and again they've demonstrated that the regular way isn't necessarily the right way. They just don't say it, they do it. And they do it better than just about anyone has any right to expect.</p>  <p>This book is short, fast, sharp and ready to make a difference. It takes no prisoners, spares no quarter, and gives you no place to hide, all at the same time.</p>  <p>There, my review is almost as long as the first chapter of the book. I can't imagine what possible excuse you can dream up for not buying this book for every single person you work with, right now.</p>  <p>Stop reading the review. Buy the book.<i>--Seth Godin</i> </p> <hr size=""1"">"
Adobe After Effects CC Classroom in a Book (2017 release),"{""Lisa Fridsma"",""Brie Gyncild""}","<p style=""margin:0px;"">Creative professionals seeking the fastest, easiest, most comprehensive way to learn Adobe After Effects CC (2017 release) choose <i>Adobe After Effects CC Classroom in a Book (2017 release)</i> from Adobe Press. The 14 project-based lessons in this book show users step-by-step the key techniques for working in After Effects. Learn how to create, manipulate, and optimize motion graphics for film, video, DVD, the web, and mobile devices. Gain hands-on experience animating text and images, customizing a wide range of effects, tracking and syncing content, rotoscoping, and correcting color. Learn to create 3D content with both After Effects and Maxon Cinema 4D Lite (included with the software).</p> <p style=""margin:0px;""> </p> The online companion files include all the necessary assets for readers to complete the projects featured in each chapter as well as ebook updates when Adobe releases new features for Creative Cloud customers. All buyers of the book get full access to the Web Edition: a Web-based version of the complete ebook enhanced with video and interactive multiple-choice quizzes. As always with the Classroom in a Book, Instructor Notes are available for teachers to download."
Bird by Bird: Some Instructions on Writing and Life,"{""Anne Lamott""}","""Thirty years ago my older brother, who was ten years old at the time, was trying to get a report on birds written that he'd had three months to write. It was due the next day. We were out at our family cabin in Bolinas, and he was at the kitchen table close to tears, surrounded by binder paper and pencils and unopened books on birds, immobilized by the hugeness of the task ahead. Then my father sat down beside him, put his arm around my  brother's shoulder, and said, 'Bird by bird, buddy.  Just take it bird by bird.'""Think you've got a book inside of you? Anne Lamott isn't afraid to help you let it out. She'll help you find your passion and your voice, beginning from the first really crummy draft to the peculiar letdown of publication. Readers will be reminded of the energizing books of writer Natalie Goldberg and will be seduced by Lamott's witty take on the reality of a writer's life, which has little to do with literary parties and a lot to do with jealousy, writer's block and going for broke with each paragraph.  Marvelously wise and best of all, great reading."
Draplin Design Co.: Pretty Much Everything,"{""Aaron James Draplin""}","<div><I>Esquire</I>. Ford Motors. Burton Snowboards. The Obama Administration. While all of these brands are vastly different, they share at least one thing in com­mon: a teeny, little bit of Aaron James Draplin. Draplin is one of the new school of influential graphic designers who combine the power of design, social media, entrepreneurship, and DIY aesthetic to create a successful business and way of life.<BR>  <BR><I>Pretty Much Everything </I>is a mid-career survey of work, case studies, inspiration, road stories, lists, maps, how-tos, and advice. It includes examples of his work—posters, record covers, logos—and presents the process behind his design with projects like Field Notes and the “Things We Love” State Posters. Draplin also offers valuable advice and hilarious commentary that illustrates how much more goes into design than just what appears on the page. With Draplin’s humor and pointed observations on the contemporary design scene, <I>Draplin Design Co. </I>is the complete package for the new generation of designers.</div>"
Deep Work: Rules for Focused Success in a Distracted World,"{""Cal Newport""}","<div><b>One of the most valuable skills in our economy is becoming increasingly rare. If you master this skill, you'll achieve extraordinary results.</b></div> <br> <div>Deep work is the ability to focus without distraction on a cognitively demanding task. It's a skill that allows you to quickly master complicated information and produce better results in less time. Deep work will make you better at what you do and provide the sense of true fulfillment that comes from craftsmanship. In short, deep work is like a super power in our increasingly competitive twenty-first century economy. And yet, most people have lost the ability to go deep-spending their days instead in a frantic blur of e-mail and social media, not even realizing there's a better way.</div> <br> <div>In DEEP WORK, author and professor Cal Newport flips the narrative on impact in a connected age. Instead of arguing distraction is bad, he instead celebrates the power of its opposite. Dividing this book into two parts, he first makes the case that in almost any profession, cultivating a deep work ethic will produce massive benefits. He then presents a rigorous training regimen, presented as a series of four ""rules,"" for transforming your mind and habits to support this skill. </div> <br> <div>A mix of cultural criticism and actionable advice, DEEP WORK takes the reader on a journey through memorable stories -- from Carl Jung building a stone tower in the woods to focus his mind, to a social media pioneer buying a round-trip business class ticket to Tokyo to write a book free from distraction in the air -- and no-nonsense advice, such as the claim that most serious professionals should quit social media and that you should practice being bored. DEEP WORK is an indispensable guide to anyone seeking focused success in a distracted world.</div>"
Dune,"{""Frank Herbert""}","Here is the novel that will be forever considered a triumph of the imagination. Set on the desert planet Arrakis, <b>Dune</b> is the story of the boy Paul Atreides, who would become the mysterious man known as Muad'Dib. He would avenge the traitorous plot against his noble family--and would bring to fruition humankind's most ancient and unattainable dream.<br><p>A stunning blend of adventure and mysticism, environmentalism and politics, Dune won the first Nebula Award, shared the Hugo Award, and formed the basis of what it undoubtedly the grandest epic in science fiction.</p>This Hugo and Nebula Award winner tells the sweeping tale of a desert planet called Arrakis, the focus of an intricate power struggle in a byzantine interstellar empire. Arrakis is the sole source of Melange, the ""spice of spices."" Melange is necessary for interstellar travel and grants psychic powers and longevity, so whoever controls it wields great influence. <p> The troubles begin when stewardship of Arrakis is transferred by the Emperor from the Harkonnen Noble House to House Atreides.  The Harkonnens don't want to give up their privilege, though, and through sabotage and treachery they cast young Duke Paul Atreides out into the planet's harsh environment to die.  There he falls in with the Fremen, a tribe of desert dwellers who become the basis of the army with which he will reclaim what's rightfully his. Paul Atreides, though, is far more than just a usurped duke. He might be the end product of a very long-term genetic experiment designed to breed a super human; he might be a messiah.  His struggle is at the center of a nexus of powerful people and events, and the repercussions will be felt throughout the Imperium. <p> <i>Dune</i> is one of the most famous science fiction novels ever written, and deservedly so.  The setting is elaborate and ornate, the plot labyrinthine, the adventures exciting. Five sequels follow. <I>--Brooks Peck</I>"
"Manage Your Day-to-Day: Build Your Routine, Find Your Focus, and Sharpen Your Creative Mind (The 99U Book Series)","{""Jocelyn K. Glei"",99U}","<strong>Stop doing busywork. Start doing your best work.</strong> <p>Are you over-extended, over-distracted, and overwhelmed? Do you work at a breakneck pace all day, only to find that you haven’t accomplished the most important things on your agenda when you leave the office?</p> <p>The world has changed and the way we work has to change, too. With wisdom from 20 leading creative minds, <em>Manage Your Day-to-Day</em> will give you a toolkit for tackling the new challenges of a 24/7, always-on workplace.</p> <p>Featuring contributions from: Dan Ariely, Leo Babauta, Scott Belsky, Lori Deschene, Aaron Dignan, Erin Rooney Doland, Seth Godin,Todd Henry, Christian Jarrett, Scott McDowell, Mark McGuinness, Cal Newport, Steven Pressfield, Gretchen Rubin, Stefan Sagmeister, Elizabeth G. Saunders, Tony Schwartz, Tiffany Shlain, Linda Stone, and James Victore. Plus, a foreword from Behance founder & CEO Scott Belsky.<br /></p>"
RETOX: Yoga*Food*Attitude Healthy Solutions for Real Life,"{""Lauren Imparato""}","<b>Practical health and wellness strategies from Lauren Imparato, creator of the I.AM.YOU. lifestyle brand and yoga studio</b><br><br> Rest to rage. Meditate to work. Cleanse to get dirty.<br><br> Enough preaching about self-deprivation.  No more striving for bodily purity. Who has the patience—or the time!—for strict dietary restrictions and hours of meditation? Let’s get real. These tactics just don’t work—at least not for long.  But that doesn’t mean health and happiness are unobtainable.<br><br> Most often you just need an anxiety buster you can do while running down the street. Or a yoga pose you can do at your desk. Or a way to debloat what feels like an alien baby in your abdomen. <i>Retox</i> isn’t about changing who you are or denying life’s pleasures. It’s about tailoring sensible, scientifically-based health practices to the life you already live. It’s about working hard, playing harder, and renewing your balance and energy so you can do it all again.<br><br> In <i>Retox</i>, health expert Lauren Imparato strips yoga down to its anatomical principles, offering practical tips for fast relief. Then, drawing from a variety of disciplines—from psychology to nutrition to Tibetan philosophy—she designs no-nonsense strategies and delicious recipes to combat the most common challenges of modern life:<p> </p>   •  Stress and anxiety <br>   •  Low energy <br>   •  Back pain and headaches <br>   •  Hangovers <br>   •  PMS <br>   •  Sleep Deprivation <br>   •  And much more…"
Adobe Premiere Pro CC Classroom in a Book (2017 release),"{""Maxim Jago""}","<p style=""margin:0px;"">Creative professionals seeking the fastest, easiest, most comprehensive way to learn Adobe Premiere Pro CC (2017 release) choose <i>Adobe Premiere Pro CC Classroom in a Book (2017 release)</i> from Adobe Press. The 18 project-based lessons in this book show users step-by-step the key techniques for working in Premiere Pro. Learn to edit video in Adobe Premiere Pro CC 2017 and get the most out of your workflow. Take a project from beginning to end and learn to organize media, add audio, create transitions, produce titles, and add effects. Take your projects further by sweetening and mixing sound, compositing footage, adjusting color, using advanced editing techniques, managing projects, working with 360 video for VR headsets, exporting, and much more.</p> <p style=""margin:0px;""> </p> The online companion files include all the necessary assets for readers to complete the projects featured in each chapter as well as ebook updates when Adobe releases new features for Creative Cloud customers. All buyers of the book get full access to the Web Edition: a Web-based version of the complete ebook enhanced with video and interactive multiple-choice quizzes. As always with the Classroom in a Book, Instructor Notes are available for teachers to download."
Linchpin: Are You Indispensable?,"{""Seth Godin""}","<b>This life-changing manifesto shows how you have the potential to make a huge difference wherever you are. </b><br> <br>Few authors have had the kind of lasting impact and global reach that Seth Godin has had. In a series of now-classic books that have been translated into 36 languages and reached millions of readers around the world, he has taught generations of readers how to make remarkable products and spread powerful ideas. In <i>Linchpin</i>, he turns his attention to the individual, and explains how anyone can make a significant impact within their organization.<br> <br>There used to be two teams in every workplace: management and labor. Now there's a third team, the linchpins. These people figure out what to do when there's no rule book. They delight and challenge their customers and peers. They love their work, pour their best selves into it, and turn each day into a kind of art. <br> <br>Have you ever found a shortcut that others missed? Seen a new way to resolve a conflict? Made a connection with someone others couldn't reach? Even once? Then you have what it takes to become indispensable, by overcoming the resistance that holds people back. Linchpin will show you how to join the likes of... <br> <br>· Keith Johnson, who scours flea markets across the country to fill Anthropologie stores with unique pieces. <br>· Jason Zimdars, a graphic designer who got his dream job at 37signals without a résumé. <br>· David, who works at Dean and Deluca coffee shop in New York. He sees every customer interaction as a chance to give a gift and is cherished in return. <br> <br>As Godin writes, ""Every day I meet people who have so much to give but have been bullied enough or frightened enough to hold it back. It's time to stop complying with the system and draw your own map. You have brilliance in you, your contribution is essential, and the art you create is precious. Only you can do it, and you must.""<span class=""h1""> <strong>Amazon Exclusive: Hugh MacLeod Reviews <em>Linchpin</em></strong> </span> <br /> <br /> <strong> Hugh MacLeod  is an artist, cartoonist, and Web 2.0 pundit whose blog, gapingvoid.com, has two million unique monthly visitors. His first book,   <em>Ignore Everybody</em>,  was an Amazon Top Ten Business Book of the Year and a  <em>Wall Street Journal</em> bestseller. Read his exclusive Amazon guest review of  <em>Linchpin</em>: </strong> <br />  <img height=""275"" src=""https://images-na.ssl-images-amazon.com/images/G/01/PenguinEMS2010/HughMcleod._V204290987_.jpg"" style=""border: 1px solid black; margin: 1px; float: right;"" width=""200"" />  <br /> This is by far Seth’s most passionate book. He’s pulling fewer punches. He’s out for blood. He’s out to make a difference. And that glorious, heartfelt passion is obvious on every page, even if it is in Seth’s usual quiet, lucid, understated manner. <br /> <br /> A linchpin, as Seth describes it, is somebody in an organization who is indispensable, who cannot be replaced—her role is just far too unique and valuable. And then he goes on to say, well, seriously folks, you need to be one of these people, you really do. To not be one is economic and career suicide.  <br /> <br /> No surprises there—that’s exactly what one would expect Seth to say. But here’s where it gets interesting. <br /> <br /> In his best-known book,   <em>Purple Cow</em>,  Seth’s message was, “Everyone’s a marketer now.” In   <em>All Marketers Are Liars</em>,  his message was, “Everyone’s a storyteller now.” In   <em>Tribes</em>,  his message was, “Everyone’s a leader now.”  <br /> <br /> And from <em>Linchpin</em>? <br /> <br /> ""Everyone’s an artist now."" <br /> <br /> By Seth’s definition, an artist is not just some person who messes around with paint and brushes, an artist is somebody who does (and I LOVE this term) “emotional work.” <br /> <br /> Work that you put your heart and soul into. Work that matters. Work that you gladly sacrifice all other alternatives for. As a working artist and cartoonist myself, I know exactly what he means. It’s not what you do, it’s the way that you do it. <br /> <br /> The only people who have a hope of becoming linchpins in any organization, who have any hope of changing anything for the better in real terms, are those who have the capacity to do “emotional work” at a high level—to be true artists at whatever they set their minds on doing. The guys who just plod around the office corridors, just turning up for their paycheck.... Well, those guys don’t have a prayer, poor things. The world is just too interesting and competitive now. <br /> <br /> And Seth then challenges us, the readers, to become linchpins ourselves. To make the leap. To become artists. To do emotional work, whatever the sacrifice may be. It’s our choice, and it’s our burden. Seth won’t be there to catch us if we fall, but to become the people we need to be eventually, well, we probably wouldn’t want him to, anyway. <br /> <br /> Congratulations, Seth. You have penned a real gem of a book here. Rock on. <br /> <br /> <em>--Hugh MacLeod</em>"
